coding	meaning
775608007	Dimethyl fumarate
775713001	Duloxetine (product)
775713001	Duloxetine
775291004	Flumetasone + Clioquinol (product)
775291004	Flumetasone + Clioquinol
776670006	Menadiol (product)
776670006	Menadiol
776019001	Fluticasone + Vilanterol (product)
776019001	Fluticasone + Vilanterol
775543001	Diamorphine (product)
775543001	Diamorphine
774471001	Aliskiren (product)
774471001	Aliskiren
777559000	Sodium fluoride (product)
777559000	Sodium fluoride
777702003	Temozolomide (product)
777702003	Temozolomide
774551007	Amiodarone (product)
774551007	Amiodarone
774905002	Bretylium (product)
774905002	Bretylium
777433000	Salicylic acid + Rhubarb extract (product)
777433000	Salicylic acid + Rhubarb extract (product)
777433000	Salicylic acid + Rhubarb extract
777433000	Salicylic acid + Rhubarb extract
775446006	Co-danthramer (product)
775446006	Co-danthramer
776669005	Memantine (product)
776669005	Memantine
777073004	Paracetamol + Sodium salicylate (product)
777073004	Paracetamol + Sodium salicylate
776961005	Obinutuzumab (product)
776961005	Obinutuzumab
774843000	Betamethasone + Fusidic acid (product)
774843000	Betamethasone + Fusidic acid
777560005	Sodium fluoride + Triclosan (product)
777560005	Sodium fluoride + Triclosan
777990007	Zolpidem (product)
777990007	Zolpidem
775876009	Ethosuximide (product)
775876009	Ethosuximide
777141008	Pericyazine (product)
777141008	Pericyazine
775344008	Cobimetinib (product)
775344008	Cobimetinib
777875007	Tropisetron (product)
777875007	Tropisetron
774970006	Glucose + Caffeine (product)
774970006	Glucose + Caffeine
777714006	Terfenadine (product)
777714006	Terfenadine
777445009	Rimexolone (product)
777445009	Rimexolone
775774002	Entecavir (product)
775774002	Entecavir
775669002	Docetaxel (product)
40001004	Smallpox virus vaccination
775669002	Docetaxel
774689009	Atezolizumab (product)
774689009	Atezolizumab
774831001	Beractant (product)
774831001	Beractant
777507006	Secretin (product)
777507006	Secretin
775434007	Daclatasvir (product)
775434007	Daclatasvir
775595009	Dihydroergotamine (product)
775595009	Dihydroergotamine
773364001	Doxorubicin (product)
773364001	Doxorubicin
774969005	Ergotamine + Caffeine (product)
774969005	Ergotamine + Caffeine
777048004	Palifermin (product)
777048004	Palifermin
776657002	Megestrol (product)
776657002	Megestrol
774706009	Avatrombopag (product)
774706009	Avatrombopag
776633002	Maprotiline (product)
776633002	Maprotiline
776518000	Levomenthol (product)
776518000	Levomenthol
776794001	Milrinone (product)
776794001	Milrinone
776948005	Nortriptyline (product)
776948005	Nortriptyline
777726001	Tetrabenazine (product)
777726001	Tetrabenazine
775109003	Cefpodoxime (product)
775109003	Cefpodoxime
775307008	Clomipramine (product)
775307008	Clomipramine
775110008	Cefprozil (product)
775110008	Cefprozil
774446004	Agomelatine (product)
774446004	Agomelatine
781612001	Cemiplimab (product)
781612001	Cemiplimab
774690000	Atomoxetine (product)
774690000	Atomoxetine
777469008	Rosiglitazone (product)
777469008	Rosiglitazone
776072002	Galantamine (product)
776072002	Galantamine
870616001	Bempedoic + Ezetimibe (product)
870616001	Bempedoic + Ezetimibe (product)
870616001	Bempedoic + Ezetimibe
870616001	Bempedoic + Ezetimibe
1137659002	Setmelanotide (product)
138875005	35.0.0_20220928000001 UK clinical extension
138875005	35.0.0_20220928000001 UK clinical extension
1137659002	Setmelanotide
777271005	Potassium bromide (product)
777271005	Potassium bromide
781225004	Elbasvir + Grazoprevir (product)
781225004	Elbasvir + Grazoprevir
777600004	Spectinomycin (product)
777600004	Spectinomycin
777738005	Thiamazole (product)
777738005	Thiamazole
777308002	Prednicarbate (product)
777308002	Prednicarbate
777596009	Sorbitol (product)
777596009	Sorbitol
774458004	Alefacept (product)
774458004	Alefacept
775518007	Dexrazoxane (product)
775518007	Dexrazoxane
774563002	Amlodipine + Valsartan (product)
774563002	Amlodipine + Valsartan
776109009	Glimepiride (product)
776109009	Glimepiride
777397001	Ranibizumab (product)
777397001	Ranibizumab
775319000	Clotrimazole (product)
775319000	Clotrimazole
776413007	Rifampicin + Isoniazid + Pyrazinamide (product)
776413007	Rifampicin + Isoniazid + Pyrazinamide
776820006	Sodium dihydrogen phosphate (product)
776820006	Sodium dihydrogen phosphate
776308009	Imidapril (product)
776308009	Imidapril
777820000	Verapamil + Trandolapril (product)
777820000	Verapamil + Trandolapril
776936007	Nonacog beta pegol (product)
776936007	Nonacog beta pegol
775458006	Debrisoquine (product)
775458006	Debrisoquine
777981000	Zinc oxide (product)
777981000	Zinc oxide
775084007	Zinc oxide + Castor oil (product)
775084007	Zinc oxide + Castor oil
776540009	Linaclotide (product)
776540009	Linaclotide
777887000	Tyrosine (product)
777887000	Tyrosine
774982002	Calcitonin (product)
774982002	Calcitonin (product)
774982002	Calcitonin
774982002	Calcitonin
777457000	Rizatriptan (product)
777457000	Rizatriptan
774795003	Benzocaine + Chloroxylenol (product)
774795003	Benzocaine + Chloroxylenol
776608000	Magnesium aspartate (product)
776608000	Magnesium aspartate
774840002	Calcipotriol + Betamethasone (product)
774840002	Calcipotriol + Betamethasone
777819006	Trandolapril (product)
777819006	Trandolapril
776174003	Halothane (product)
776174003	Halothane
775685007	Donepezil (product)
775685007	Donepezil
777373005	Pyrogallol (product)
777373005	Pyrogallol
777430002	Reviparin (product)
777430002	Reviparin
774783003	Dimeticone + Benzalkonium (product)
774783003	Dimeticone + Benzalkonium
776884004	Nelfinavir (product)
776884004	Nelfinavir
774908000	Brilliant green + Crystal violet (product)
774908000	Brilliant green + Crystal violet
776437007	Ivermectin (product)
776437007	Ivermectin
774462005	Alexitol (product)
774462005	Alexitol (product)
774462005	Alexitol
774462005	Alexitol
776093004	Gemtuzumab ozogamicin (product)
776093004	Gemtuzumab ozogamicin
777076007	Paraffin hard (product)
777076007	Paraffin hard
776218001	Hyaluronidase (product)
776218001	Hyaluronidase
775867002	Ethinylestradiol + Norelgestromin (product)
775867002	Ethinylestradiol + Norelgestromin
775007003	Calcium lactate (product)
775007003	Calcium lactate
776621007	Magnesium oxide (product)
776621007	Magnesium oxide
776527004	Levothyroxine + Liothyronine (product)
776527004	Levothyroxine + Liothyronine
777442007	Rilpivirine (product)
777442007	Rilpivirine
776162002	Guanfacine (product)
776162002	Guanfacine
777612000	Streptokinase + Streptodornase (product)
777612000	Streptokinase + Streptodornase
775341000	Cobicistat (product)
775341000	Cobicistat
777807003	Tolvaptan (product)
777807003	Tolvaptan
774839004	Betamethasone (product)
774839004	Betamethasone
775961002	Fidaxomicin (product)
775961002	Fidaxomicin
776312003	Imiglucerase (product)
776312003	Imiglucerase
775422004	Phenylephrine + Cyclopentolate (product)
775422004	Phenylephrine + Cyclopentolate
777466001	Rose bengal (product)
777466001	Rose bengal
774933002	Bupivacaine + Adrenaline (product)
774933002	Bupivacaine + Adrenaline
774693003	Proguanil + Atovaquone (product)
774693003	Proguanil + Atovaquone
864008004	Sulfadiazine silver (product)
864008004	Sulfadiazine silver
777729008	Tetracosactide (product)
777729008	Tetracosactide
775316007	Dipotassium clorazepate (product)
775316007	Dipotassium clorazepate (product)
775316007	Dipotassium clorazepate
775316007	Dipotassium clorazepate
775251002	Cinchocaine (product)
775251002	Cinchocaine
776515002	Levodopa (product)
776515002	Levodopa
775798009	Epoetin delta (product)
775798009	Epoetin delta
1204440004	Isosorbide mononitrate (product)
1204440004	Isosorbide mononitrate
774864001	Biperiden (product)
774864001	Biperiden
774449006	Albiglutide (product)
774449006	Albiglutide
777730003	Tetracycline (product)
777730003	Tetracycline
776450008	Ketoprofen (product)
776450008	Ketoprofen
776267004	Co-simalcite (product)
776267004	Co-simalcite
777717004	Terlipressin (product)
777717004	Terlipressin
773478001	Zofenopril (product)
773478001	Zofenopril
774368005	Lactobacillus (product)
774368005	Lactobacillus
860758006	Rimegepant (product)
860758006	Rimegepant
777454007	Rituximab (product)
777454007	Rituximab
776300002	Idebenone (product)
776300002	Idebenone
776503001	Leucine (product)
776503001	Leucine
777624007	Sucrose (product)
777624007	Sucrose
775880004	Ethanol (product)
775880004	Ethanol
776896006	Netupitant + Palonosetron (product)
776896006	Netupitant + Palonosetron
775020000	Camphor + Chloroxylenol (product)
775020000	Camphor + Chloroxylenol
776449008	Ketoconazole (product)
776449008	Ketoconazole
777989003	Zolmitriptan (product)
777989003	Zolmitriptan
774852009	Bezafibrate (product)
774852009	Bezafibrate
775945004	Ferrous fumarate + Folic acid (product)
775945004	Ferrous fumarate + Folic acid
776081008	Ganciclovir (product)
776081008	Ganciclovir
775275002	Citrulline (product)
775275002	Citrulline
776056005	Triamterene + Furosemide (product)
776056005	Triamterene + Furosemide
777267007	Potassium acid tartrate + Potassium bicarbonate (product)
777267007	Potassium acid tartrate + Potassium bicarbonate
773466000	Guaifenesin + Pseudoephedrine (product)
773466000	Guaifenesin + Pseudoephedrine
775710003	Drotrecogin alfa (product)
775710003	Drotrecogin alfa
776348001	Interferon alfa-2b (product)
776348001	Interferon alfa-2b
776921009	Nisoldipine (product)
776921009	Nisoldipine
777324001	Proflavine (product)
777324001	Proflavine
776973005	Ofloxacin (product)
776973005	Ofloxacin
777117005	Pentetic acid (product)
777117005	Pentetic acid
775068006	Carfilzomib (product)
775068006	Carfilzomib
775985005	Flumazenil (product)
775985005	Flumazenil
776835007	Mucin + Xylitol (product)
776835007	Mucin + Xylitol
775125008	Cellulose (product)
775125008	Cellulose
775503006	Tramazoline + Dexamethasone (product)
775503006	Tramazoline + Dexamethasone
775933008	Fenoterol + Ipratropium (product)
775933008	Fenoterol + Ipratropium
777977000	Zinc citrate (product)
777977000	Zinc citrate
776985002	Olopatadine (product)
776985002	Olopatadine
774746003	Salbutamol + Beclometasone (product)
774746003	Salbutamol + Beclometasone
774997004	Calcium carbonate + Opium (product)
774997004	Calcium carbonate + Opium
776555000	Lithium carbonate (product)
776555000	Lithium carbonate
776498004	Lepirudin (product)
776498004	Lepirudin
774803005	Salicylamide + Benzocaine (product)
774803005	Salicylamide + Benzocaine
775921003	Felbamate (product)
775921003	Felbamate
895370000	Brexucabtagene autoleucel (product)
895370000	Brexucabtagene autoleucel
777255005	Ponatinib (product)
777255005	Ponatinib
782996004	Lorlatinib (product)
782996004	Lorlatinib
777685006	Tecovirimat (product)
777685006	Tecovirimat
777405000	Reboxetine (product)
777405000	Reboxetine
776462007	Lactitol (product)
776462007	Lactitol
777778003	Tioguanine (product)
777778003	Tioguanine
774709002	Phentolamine + Aviptadil (product)
774709002	Phentolamine + Aviptadil
775734008	Efalizumab (product)
775734008	Efalizumab
777535005	Simeticone (product)
777535005	Simeticone
777105008	Pemetrexed (product)
777105008	Pemetrexed
774641000	Artemether + Lumefantrine (product)
774641000	Artemether + Lumefantrine
774498002	Alprazolam (product)
774498002	Alprazolam
774815009	Benzoyl peroxide + Potassium hydroxyquinoline sulfate (product)
774815009	Benzoyl peroxide + Potassium hydroxyquinoline sulfate
777523006	Sevelamer (product)
777523006	Sevelamer
777088009	Pasireotide (product)
777088009	Pasireotide
775044003	Urea hydrogen peroxide (product)
775044003	Urea hydrogen peroxide
775162005	Chlordiazepoxide (product)
775162005	Chlordiazepoxide
775592007	Dihydrocodeine (product)
775592007	Dihydrocodeine
776859002	Nalidixic acid (product)
776859002	Nalidixic acid
776860007	Nalmefene (product)
776860007	Nalmefene
777417003	Remifentanil (product)
777417003	Remifentanil
777243004	Polygeline (product)
777243004	Polygeline
774523003	Sterculia + Alverine (product)
774523003	Sterculia + Alverine
776754003	Methylprednisolone (product)
776754003	Methylprednisolone
777673003	Tamsulosin (product)
777673003	Tamsulosin
776580000	Lovastatin (product)
776580000	Lovastatin
776567003	Simeticone + Loperamide (product)
776567003	Simeticone + Loperamide
776908002	Nifedipine (product)
776908002	Nifedipine
777336007	Propamidine (product)
777336007	Propamidine
777766002	Ticagrelor (product)
777766002	Ticagrelor
775149006	Cetylpyridinium (product)
775149006	Cetylpyridinium
775579009	Diethylstilbestrol + Lactic acid (product)
775579009	Diethylstilbestrol + Lactic acid
774628004	Apremilast (product)
774628004	Apremilast
776673008	Methyl salicylate + Menthol (product)
776673008	Methyl salicylate + Menthol
776474006	Lanreotide (product)
776474006	Lanreotide
776044009	Fosphenytoin (product)
776044009	Fosphenytoin
776336004	Inotuzumab ozogamicin (product)
776336004	Inotuzumab ozogamicin
774535004	Amiloride (product)
774535004	Amiloride
775150006	Guaifenesin + Cetylpyridinium (product)
775150006	Guaifenesin + Cetylpyridinium
776149001	Industrial methylated spirit + Soft soap (product)
776149001	Industrial methylated spirit + Soft soap
776766009	Metoclopramide (product)
776766009	Metoclopramide
774722005	Azithromycin (product)
774722005	Azithromycin
777661003	Tacalcitol (product)
777661003	Tacalcitol
775299002	Clobetasone + Oxytetracycline + Nystatin (product)
775299002	Clobetasone + Oxytetracycline + Nystatin
776614007	Magnesium glycerophosphate (product)
776614007	Magnesium glycerophosphate
774719008	Azelaic acid (product)
774719008	Azelaic acid
775369008	Colestipol (product)
775369008	Colestipol
776855008	Naftidrofuryl (product)
776855008	Naftidrofuryl
777391000	Raloxifene (product)
